"spcode","kingdom","phylum","class","family","genus","species","common_name","order"
37354908,"Animalia","Chordata","Actinopterygii","Sciaenidae","Chrysochir","spp",NA,"Perciformes"
37428961,"Animalia","Chordata","Actinopterygii","Gobiidae","Oxyurichthys","spp",NA,"Perciformes"
37465924,"Animalia","Chordata","Actinopterygii","Monacanthidae","Oxymonacanthus","spp",NA,"Tetraodontiformes"
37013906,"Animalia","Chordata","Elasmobranchii","Orectolobidae","Orectolobus","spp",NA,"Orectolobiformes"
37345900,"Animalia","Chordata","Actinopterygii","Emmelichthyidae","Plagiogeneion","spp","rubyfish","Perciformes"
37319000,"Animalia","Chordata","Actinopterygii","Acanthoclinidae","Unknown","spp","spiny basslets","Perciformes"
37017901,"Animalia","Chordata","Elasmobranchii","Triakidae","Mustelus","spp","gummy shark","Carcharhiniformes"
37127000,"Animalia","Chordata","Actinopterygii","Omosudidae","Unknown","spp","hammerjaws","Aulopiformes"
37361905,"Animalia","Chordata","Actinopterygii","Scorpididae","Neatypus","spp",NA,"Perciformes"
37231901,"Animalia","Chordata","Actinopterygii","Zoarcidae","Dieidolycus","spp",NA,"Perciformes"
37460918,"Animalia","Chordata","Actinopterygii","Bothidae","Psettina","spp",NA,"Pleuronectiformes"
37462907,"Animalia","Chordata","Actinopterygii","Soleidae","Pardachirus","spp",NA,"Pleuronectiformes"
37357903,"Animalia","Chordata","Actinopterygii","Pempherididae","Pempheris","spp",NA,"Perciformes"
37311917,"Animalia","Chordata","Actinopterygii","Acropomatidae","Verilus","spp","[an ocean bass]","Perciformes"
37342906,"Animalia","Chordata","Actinopterygii","Bramidae","Taractichthys","spp",NA,"Perciformes"
37407000,"Animalia","Chordata","Actinopterygii","Channichthyidae","Unknown","spp","crocodile icefishes","Perciformes"
37424000,"Animalia","Chordata","Actinopterygii","Schindleriidae","Unknown","spp","floaters","Perciformes"
37013908,"Animalia","Chordata","Elasmobranchii","Stegostomatidae","Stegostoma","spp",NA,"Orectolobiformes"
37070905,"Animalia","Chordata","Actinopterygii","Synaphobranchidae","Synaphobranchus","spp",NA,"Anguilliformes"
37067906,"Animalia","Chordata","Actinopterygii","Congridae","Blachea","spp",NA,"Anguilliformes"
37311904,"Animalia","Chordata","Actinopterygii","Serranidae","Cephalopholis","spp","coral cod","Perciformes"
37240000,"Animalia","Chordata","Actinopterygii","Cyprinodontidae","Unknown","spp","pupfishes","Cyprinodontiformes"
37060000,"Animalia","Chordata","Actinopterygii","Muraenidae","Unknown","spp","moray eels","Anguilliformes"
37397000,"Animalia","Chordata","Actinopterygii","Pholidichthyidae","Unknown","spp","convict-blennies","Perciformes"
37141000,"Animalia","Chordata","Actinopterygii","Gonorynchidae","Unknown","spp","beaked salmons","Gonorhynchiformes"
37014000,"Animalia","Chordata","Elasmobranchii","Rhincodontidae","Unknown","spp","whale sharks","Orectolobiformes"
37398000,"Animalia","Chordata","Actinopterygii","Leptoscopidae","Unknown","spp","sandfishes","Perciformes"
37411000,"Animalia","Chordata","Actinopterygii","Congrogadidae","Unknown","spp","eel blennies","Perciformes"
37337909,"Animalia","Chordata","Actinopterygii","Carangidae","Alectis","spp","diamond trevally","Perciformes"
37346905,"Animalia","Chordata","Actinopterygii","Lutjanidae","Lutjanus","spp","sea perch","Perciformes"
37114912,"Animalia","Chordata","Actinopterygii","Alepocephalidae","Microphotolepis","spp",NA,"Osmeriformes"
37432000,"Animalia","Chordata","Actinopterygii","Kraemeriidae","Unknown","spp","sand darts","Perciformes"
37053000,"Animalia","Chordata","Actinopterygii","Elopidae","Unknown","spp","giant herrings","Elopiformes"
37015000,"Animalia","Chordata","Elasmobranchii","Scyliorhinidae","Unknown","spp","catsharks","Carcharhiniformes"
37111000,"Animalia","Chordata","Actinopterygii","Chauliodontidae","Unknown","spp","viperfishes","Stomiiformes"
37035000,"Animalia","Chordata","Elasmobranchii","Dasyatidae","Unknown","spp","stingrays","Rajiformes"
37351901,"Animalia","Chordata","Actinopterygii","Lethrinidae","Gymnocranius","spp","sea bream, snapper","Perciformes"
37290000,"Animalia","Chordata","Actinopterygii","Aploactinidae","Unknown","spp","velvetfishes","Scorpaeniformes"
37345000,"Animalia","Chordata","Actinopterygii","Emmelichthyidae","Unknown","spp","bonnetmouths","Perciformes"
