"synonym","unacceptreason","aphiaid","scientific","match_type"
"Danichthys rondelettii","misspelling",126386,"Hirundichthys rondeletii","exact"
"Exocoetus brachycephalus",NA,126386,"Hirundichthys rondeletii","exact"
"Exocoetus cribrosa",NA,126386,"Hirundichthys rondeletii","exact"
"Exocoetus dowii",NA,126386,"Hirundichthys rondeletii","exact"
"Exocoetus lamellifer","synonym",126386,"Hirundichthys rondeletii","exact"
"Exocoetus rondeletii",NA,126386,"Hirundichthys rondeletii","exact"
"Exocoetus rubescens",NA,126386,"Hirundichthys rondeletii","exact"
"Exocoetus vinciguerrae",NA,126386,"Hirundichthys rondeletii","exact"
"Exonautes fulvipes",NA,126386,"Hirundichthys rondeletii","exact"
"Exonautes gilberti",NA,126386,"Hirundichthys rondeletii","exact"
"Exonautes nonsuchae",NA,126386,"Hirundichthys rondeletii","exact"
"Hirundichthys rondeleti","misspelling",126386,"Hirundichthys rondeletii","exact"
"Prognichthys rondeletii",NA,126386,"Hirundichthys rondeletii","exact"
"Exocoetus rufipinnis",NA,1021953,"Hirundichthys rufipinnis","exact"
"Prognichthys rufipinnis",NA,1021953,"Hirundichthys rufipinnis","exact"
"Exococtus socotranus",NA,272172,"Hirundichthys socotranus","exact"
"Cypselurus hyperistius",NA,126387,"Hirundichthys speculiger","exact"
"Cypselurus speculiger",NA,126387,"Hirundichthys speculiger","exact"
"Cypsilurus speculiger",NA,126387,"Hirundichthys speculiger","exact"
"Exocoetus hyperistius",NA,126387,"Hirundichthys speculiger","exact"
"Exocoetus nigripennis",NA,126387,"Hirundichthys speculiger","exact"
"Exocoetus nigripinnis","misspelling",126387,"Hirundichthys speculiger","exact"
"Exocoetus polleni",NA,126387,"Hirundichthys speculiger","exact"
"Exocoetus speculiger","synonym",126387,"Hirundichthys speculiger","exact"
"Hirundichthys speculiger praecox",NA,126387,"Hirundichthys speculiger","exact"
"Exocoetus volador",NA,1019876,"Hirundichthys volador","exact"
"Epactionotus aky",NA,1009529,"Hisonotus aky","exact"
"Microlepidogaster depressicauda",NA,1017034,"Hisonotus depressicauda","exact"
"Otocinclus depressicauda",NA,1017034,"Hisonotus depressicauda","exact"
"Microlepidogaster depressinotus",NA,1017031,"Hisonotus depressinotus","exact"
"Microlepidogaster francirochai","senior synonym",1016064,"Hisonotus francirochai","exact"
"Otocinclus francirochai",NA,1016064,"Hisonotus francirochai","exact"
"Hisonotus leptochilus","synonym",1019356,"Hisonotus laevior","exact"
"Microlepidogaster laevior","senior synonym",1019356,"Hisonotus laevior","exact"
"Microlepidogaster leptochilus","junior synonym",1019356,"Hisonotus laevior","exact"
"Otocinclus laevior","senior synonym",1019356,"Hisonotus laevior","exact"
"Otocinclus leptochilus","junior synonym",1019356,"Hisonotus laevior","exact"
"Microlepidogaster leucofrenata","senior synonym",1018194,"Hisonotus leucofrenatus","exact"
"Microlepidogaster leucofrenatus","senior synonym",1018194,"Hisonotus leucofrenatus","exact"
"Otocinclus leucofrenatus",NA,1018194,"Hisonotus leucofrenatus","exact"
"Microlepidogaster maculipinnis","senior synonym",1017593,"Hisonotus maculipinnis","exact"
"Otocinclus maculipinnis",NA,1017593,"Hisonotus maculipinnis","exact"
"Microlepidogaster nigricauda","senior synonym",1019597,"Hisonotus nigricauda","exact"
"Otocinclus nigricauda",NA,1019597,"Hisonotus nigricauda","exact"
"Hisonotus minutus",NA,1019669,"Hisonotus notatus","exact"
"Microlepidogaster notata",NA,1019669,"Hisonotus notatus","exact"
"Microlepidogaster notatus","senior synonym",1019669,"Hisonotus notatus","exact"
"Otocinclus notatus",NA,1019669,"Hisonotus notatus","exact"
"Microlepidogaster paulinus","senior synonym",1018195,"Hisonotus paulinus","exact"
"Otocinclus paulinus",NA,1018195,"Hisonotus paulinus","exact"
"Hisonotus candombe",NA,1009038,"Hisonotus ringueleti","exact"
"Microlepidogaster taimensis",NA,1012353,"Hisonotus taimensis","exact"
"Synaphobranchus australis",NA,272016,"Histiobranchus australis","exact"
"Histiobranchus infernalis",NA,126323,"Histiobranchus bathybius","exact"
"Synaphobranchus bathybius",NA,126323,"Histiobranchus bathybius","exact"
"Synaphobranchus infernalis",NA,126323,"Histiobranchus bathybius","exact"
"Synaphobranchus bruuni",NA,272017,"Histiobranchus bruuni","exact"
"Dolloidraco velifer",NA,234790,"Histiodraco velifer","exact"
"Histiogamphelus briggsii orae",NA,281078,"Histiogamphelus briggsii","exact"
"Histiogamphelus maculatus robensis",NA,281078,"Histiogamphelus briggsii","exact"
"Histiogamphelus gallinaceus",NA,281079,"Histiogamphelus cristatus","exact"
"Histiogamphelus maculatus",NA,281079,"Histiogamphelus cristatus","exact"
"Leptoichthys cristatus",NA,281079,"Histiogamphelus cristatus","exact"
"Chironectes bougainvilli",NA,281080,"Histiophryne bougainvilli","exact"
"Antennarius cryptacanthus",NA,281081,"Histiophryne cryptacanthus","exact"
"Histiophryne cryptacantha",NA,281081,"Histiophryne cryptacanthus","exact"
"Histiophryne pogonius",NA,712511,"Histiophryne pogonia","exact"
"Histiopterus spinifer",NA,218772,"Histiopterus typus","exact"
"Histiopterus tyfus","misspelling",218772,"Histiopterus typus","exact"
"Histiopterus types","misspelling",218772,"Histiopterus typus","exact"
"Antenarius mesogallicus","misspelling",126533,"Histrio histrio","exact"
"Antennarius barbatulus",NA,126533,"Histrio histrio","exact"
"Antennarius gibbus",NA,126533,"Histrio histrio","exact"
"Antennarius histrio",NA,126533,"Histrio histrio","exact"
"Antennarius inops",NA,126533,"Histrio histrio","exact"
"Antennarius laevigatus",NA,126533,"Histrio histrio","exact"
"Antennarius lioderma",NA,126533,"Histrio histrio","exact"
"Antennarius nesogallicus",NA,126533,"Histrio histrio","exact"
"Antennarius nitidus",NA,126533,"Histrio histrio","exact"
"Antennarius raninus",NA,126533,"Histrio histrio","exact"
"Cheironectes laevigatus","misspelling",126533,"Histrio histrio","exact"
"Cheironectes pictus","misspelling",126533,"Histrio histrio","exact"
"Cheironectes pictus vittatus",NA,126533,"Histrio histrio","exact"
"Cheironectes raninus",NA,126533,"Histrio histrio","exact"
"Chironectes arcticus",NA,126533,"Histrio histrio","exact"
"Chironectes barbatulatus","misspelling",126533,"Histrio histrio","exact"
"Chironectes barbatulus",NA,126533,"Histrio histrio","exact"
"Chironectes gibbus",NA,126533,"Histrio histrio","exact"
"Chironectes histrio",NA,126533,"Histrio histrio","exact"
"Chironectes laevigatus",NA,126533,"Histrio histrio","exact"
"Chironectes nesogallicus",NA,126533,"Histrio histrio","exact"
"Chironectes pictus",NA,126533,"Histrio histrio","exact"
"Chironectes sonntagii",NA,126533,"Histrio histrio","exact"
"Chironectes sontagii","misspelling",126533,"Histrio histrio","exact"
"Chironectes tumidus",NA,126533,"Histrio histrio","exact"
"Chironectes variegatus",NA,126533,"Histrio histrio","exact"
"Historio gibbus","misspelling",126533,"Histrio histrio","exact"
"Histrio gibbus","junior synonym",126533,"Histrio histrio","exact"
"Histrio jagua",NA,126533,"Histrio histrio","exact"
"Histrio pictus",NA,126533,"Histrio histrio","exact"
"Histrio raninus",NA,126533,"Histrio histrio","exact"
"Lophius calico",NA,126533,"Histrio histrio","exact"
"Lophius cocinsinensis",NA,126533,"Histrio histrio","exact"
"Lophius geographicus",NA,126533,"Histrio histrio","exact"
"Lophius gibba","misspelling",126533,"Histrio histrio","exact"
"Lophius gibbus",NA,126533,"Histrio histrio","exact"
"Lophius histrio",NA,126533,"Histrio histrio","exact"
"Lophius histrio marmoratus",NA,126533,"Histrio histrio","exact"
"Lophius laevigatus",NA,126533,"Histrio histrio","exact"
"Lophius laevis",NA,126533,"Histrio histrio","exact"
"Lophius pelagicus",NA,126533,"Histrio histrio","exact"
"Lophius raninus",NA,126533,"Histrio histrio","exact"
"Lophius tumida","misspelling",126533,"Histrio histrio","exact"
"Lophius tumidus","synonym",126533,"Histrio histrio","exact"
"Peterophryne gibbo","misspelling",126533,"Histrio histrio","exact"
"Pterophryne gibba",NA,126533,"Histrio histrio","exact"
"Pterophryne historio","misspelling",126533,"Histrio histrio","exact"
"Pterophryne histrio",NA,126533,"Histrio histrio","exact"
"Pterophryne laevigata",NA,126533,"Histrio histrio","exact"
"Pterophryne laevigatus",NA,126533,"Histrio histrio","exact"
"Holocanthus africanus","misspelling",276011,"Holacanthus africanus","exact"
"Angelichthys isabelita","synonym",159284,"Holacanthus bermudensis","exact"
"Holacanthus ciliaris bermudensis",NA,159284,"Holacanthus bermudensis","exact"
"Holacanthus isabelita",NA,159284,"Holacanthus bermudensis","exact"
"Holocanthus bermudensis","misspelling",159284,"Holacanthus bermudensis","exact"
"Angelichthys ciliaris",NA,276012,"Holacanthus ciliaris","exact"
"Angelichthys iodocus",NA,276012,"Holacanthus ciliaris","exact"
"Chaetodon ciliaris",NA,276012,"Holacanthus ciliaris","exact"
"Chaetodon parrae",NA,276012,"Holacanthus ciliaris","exact"
"Chaetodon squamulosus",NA,276012,"Holacanthus ciliaris","exact"
"Holacanthus cornutus","misspelling",276012,"Holacanthus ciliaris","exact"
"Holacanthus coronatus",NA,276012,"Holacanthus ciliaris","exact"
"Holacanthus formosus",NA,276012,"Holacanthus ciliaris","exact"
"Holacanthus iodocus",NA,276012,"Holacanthus ciliaris","exact"
"Holacanthus lunatus",NA,276012,"Holacanthus ciliaris","exact"
"Holocanthus ciliaris","misspelling",276012,"Holacanthus ciliaris","exact"
"Holocanthus lunatus","ambiguous synonym",276012,"Holacanthus ciliaris","exact"
"Chaetodon tricolor",NA,276017,"Holacanthus tricolor","exact"
"Holocanthus tricolor","misspelling",276017,"Holacanthus tricolor","exact"
"Pomacanthus tricolor",NA,276017,"Holacanthus tricolor","exact"
"Anthias fronticinctus",NA,278312,"Holanthias fronticinctus","exact"
"Apogon maximus","synonym",281082,"Holapogon maximus","exact"
"Bassogigas aequatoris",NA,217803,"Holcomycteronus aequatoris","exact"
"Neobythites brucei",NA,234702,"Holcomycteronus brucei","exact"
"Bassogigas profundissimus",NA,272800,"Holcomycteronus profundissimus","exact"
"Grimaldichthys profundissimus",NA,272800,"Holcomycteronus profundissimus","exact"
"Neobythites pterotus",NA,272801,"Holcomycteronus pterotus","exact"
"Bassogigas koefoedi",NA,126671,"Holcomycteronus squamosus","exact"
"Bassogigas squamosus",NA,126671,"Holcomycteronus squamosus","exact"
"Grimaldichthys squamosus",NA,126671,"Holcomycteronus squamosus","exact"
"Holcomycteronus koefoedi",NA,126671,"Holcomycteronus squamosus","exact"
"Oreinus affinis",NA,1018159,"Hollandichthys multifasciatus","exact"
"Pseudochalceus affinis","junior synonym",1018159,"Hollandichthys multifasciatus","exact"
"Pseudochalceus perstriatus",NA,1018159,"Hollandichthys multifasciatus","exact"
"Tetragonopterus multifasciatus",NA,1018159,"Hollandichthys multifasciatus","exact"
"Hollardia hollardia","misspelling",281084,"Hollardia hollardi","exact"
"Bodianus pentacanthus",NA,159378,"Holocentrus adscensionis","exact"
"Holacanthus ascensionis",NA,159378,"Holocentrus adscensionis","exact"
"Holocentrum furcatum","synonym",159378,"Holocentrus adscensionis","exact"
"Holocentrum longipinne",NA,159378,"Holocentrus adscensionis","exact"
"Holocentrum macropus","synonym",159378,"Holocentrus adscensionis","exact"
"Holocentrum sanctipauli",NA,159378,"Holocentrus adscensionis","exact"
"Holocentrus ascensionis","misspelling",159378,"Holocentrus adscensionis","exact"
"Holocentrus longipinne",NA,159378,"Holocentrus adscensionis","exact"
"Holocentrus sogo",NA,159378,"Holocentrus adscensionis","exact"
"Perca adscensionis",NA,159378,"Holocentrus adscensionis","exact"
"Sargocentron furcatum",NA,159378,"Holocentrus adscensionis","exact"
"Perca rufa",NA,276189,"Holocentrus rufus","exact"
"Hemigumnosus semidiscus",NA,219003,"Hologymnosus annulatus","exact"
"Hologymnos annulatus","misspelling",219003,"Hologymnosus annulatus","exact"
"Hologymnosus semidiscus",NA,219003,"Hologymnosus annulatus","exact"
"Labrus annulatus",NA,219003,"Hologymnosus annulatus","exact"
"Labrus semidiscus",NA,219003,"Hologymnosus annulatus","exact"
"Hologymnos doliatus","misspelling",219001,"Hologymnosus doliatus","exact"
"Hologymnous doliatus",NA,219001,"Hologymnosus doliatus","exact"
"Hologymnus doliatus",NA,219001,"Hologymnosus doliatus","exact"
"Labrus doliatus",NA,219001,"Hologymnosus doliatus","exact"
"Coris longipes",NA,277557,"Hologymnosus longipes","exact"
"Holohalaelurus regani favus","synonym",390077,"Holohalaelurus favus","exact"
"Scyliorhinus melanostigma","synonym",310539,"Holohalaelurus melanostigma","exact"
"Halaelurus punctatus","synonym",217647,"Holohalaelurus punctatus","exact"
"Scyliorhinus polystigma","synonym",217647,"Holohalaelurus punctatus","exact"
"Scylliorhinus punctatus","synonym",217647,"Holohalaelurus punctatus","exact"
"Scylliorhinus regani","synonym",217648,"Holohalaelurus regani","exact"
"Paraholtbyrnia cyanocephala",NA,272942,"Holtbyrnia cyanocephala","exact"
"Bathytroctes innesi",NA,158723,"Holtbyrnia innesi","exact"
"Holtbyrnia kulikovi","synonym",158723,"Holtbyrnia innesi","exact"
"Searsia polycoeca",NA,158723,"Holtbyrnia innesi","exact"
"Sagamichthys intermedius",NA,272943,"Holtbyrnia intermedia","exact"
"Bathytroctes melanocephalus",NA,1495499,"Holtbyrnia melanocephala","exact"
"Nemacheilus serpentarius",NA,1020638,"Homaloptera bilineata","exact"
"Homaloptera indochinensis",NA,1014113,"Homalopteroides indochinensis","exact"
"Homaloptera manipurensis","synonym",1010503,"Homalopteroides manipurensis","exact"
"Helgia modesta",NA,1019614,"Homalopteroides modestus","exact"
"Homaloptera modesta",NA,1019614,"Homalopteroides modestus","exact"
"Homaloptera nebulosa",NA,1013271,"Homalopteroides nebulosus","exact"
"Chopraia rupicola",NA,1525478,"Homalopteroides rupicola","exact"
"Homaloptera rupicola","senior synonym",1525478,"Homalopteroides rupicola","exact"
"Homaloptera lineata",NA,1014472,"Homalopteroides smithi","exact"
"Homaloptera smithi","synonym",1014472,"Homalopteroides smithi","exact"
"Homaloptera stephensoni",NA,1015738,"Homalopteroides stephensoni","exact"
"Homaloptera tweediei","senior synonym",1026688,"Homalopteroides tweediei","exact"
"Homaloptera fasciata","synonym",1026689,"Homalopteroides wassinkii","exact"
"Homaloptera wassinkii",NA,1026689,"Homalopteroides wassinkii","exact"
"Homaloptera weberi","synonym",1015681,"Homalopteroides weberi","exact"
"Homaloptera yuwonoi",NA,1010539,"Homalopteroides yuwonoi","exact"
"Homaloptera amphisquamata",NA,1525822,"Homalopterula amphisquamata","exact"
"Homaloptera gymnogaster","synonym",1021682,"Homalopterula gymnogaster","exact"
"Homaloptera lepidogaster",NA,1021682,"Homalopterula gymnogaster","exact"
"Homaloptera heterolepis",NA,1525800,"Homalopterula heterolepis","exact"
"Homaloptera modigliani",NA,1026687,"Homalopterula modiglianii","exact"
"Homaloptera modiglianii",NA,1026687,"Homalopterula modiglianii","exact"
"Homaloptera ripleyi","senior synonym",1014830,"Homalopterula ripleyi","exact"
"Homaloptera ulmeri",NA,1014838,"Homalopterula vanderbilti","exact"
"Homaloptera vanderbilti","synonym",1014838,"Homalopterula vanderbilti","exact"
"Paracobitis acuticephala",NA,1011059,"Homatula acuticephala","exact"
"Paracobitis anguillioides",NA,1011970,"Homatula anguillioides","exact"
"Barbatula berezowskii","junior synonym",1584320,"Homatula berezowskii","exact"
"Nemacheilus berezowskii","junior synonym",1584320,"Homatula berezowskii","exact"
"Nemachilus berezowskii","synonym",1584320,"Homatula berezowskii","exact"
"Paracobitis erhaiensis",NA,1011794,"Homatula erhaiensis","exact"
"Paracobitis variagatus longidorsalis","senior synonym",1525780,"Homatula longidorsalis","exact"
"Paracobitis variegatus longidorsalis",NA,1525780,"Homatula longidorsalis","exact"
"Paracobitis nanpanjiangensis",NA,1525047,"Homatula nanpanjiangensis","exact"
"Paracobitis oligolepis",NA,1524100,"Homatula oligolepis","exact"
"Paracobitis variegatus oligolepis",NA,1524100,"Homatula oligolepis","exact"
"Barbatula potanini","senior synonym",1019268,"Homatula potanini","exact"
"Nemacheilus potanini","senior synonym",1019268,"Homatula potanini","exact"
"Nemachilus potaneni",NA,1019268,"Homatula potanini","exact"
"Nemachilus potanini",NA,1019268,"Homatula potanini","exact"
"Paracobitis potanini","senior synonym",1019268,"Homatula potanini","exact"
"Barbatula oxygnatha","junior synonym",1018161,"Homatula variegata","exact"
"Homatula variegatus",NA,1018161,"Homatula variegata","exact"
"Nemacheilus oxygnathus","junior synonym",1018161,"Homatula variegata","exact"
"Nemachilus oxygnathus",NA,1018161,"Homatula variegata","exact"
"Nemachilus variegatus","synonym",1018161,"Homatula variegata","exact"
"Paracobitis variagatus",NA,1018161,"Homatula variegata","exact"
"Paracobitis variegatus",NA,1018161,"Homatula variegata","exact"
"Paracobitis wujiangensis",NA,1011454,"Homatula wujiangensis","exact"
"Homodiaetus vaz-erreirai",NA,1014937,"Homodiaetus anisitsi","exact"
"Homodiaetus vazferreirai",NA,1014937,"Homodiaetus anisitsi","exact"
"Stegophilus passarellii",NA,1014552,"Homodiaetus passarellii","exact"
"Homostolus japonicus",NA,281086,"Homostolus acer","exact"
"Hongeo koreana",NA,712397,"Hongeo koreanus","exact"
"Okamejei koreana",NA,712397,"Hongeo koreanus","exact"
"Raja koreana",NA,712397,"Hongeo koreanus","exact"
"Hongshuia microstomatus",NA,1011579,"Hongshuia microstomata","exact"
"Sinocrossocheilus microstomatus",NA,1011579,"Hongshuia microstomata","exact"
"Erythrinus brasiliensis",NA,1022688,"Hoplias brasiliensis","exact"
"Macrodon intermedius",NA,1043443,"Hoplias intermedius","exact"
"Hoplias malabaricus lacerdae","senior synonym",1018027,"Hoplias lacerdae","exact"
"Hoplias malabaricus microphthalmus","junior synonym",1017833,"Hoplias macrophthalmus","exact"
"Macrodon malabaricus macrophthalma",NA,1017833,"Hoplias macrophthalmus","exact"
"Erythrinus macrodon","synonym",874263,"Hoplias malabaricus","exact"
"Erythrinus trahira","synonym",874263,"Hoplias malabaricus","exact"
"Esox malabaricus",NA,874263,"Hoplias malabaricus","exact"
"Esox tararira","synonym",874263,"Hoplias malabaricus","exact"
"Hoplias malabarica",NA,874263,"Hoplias malabaricus","exact"
"Macrodon ferox","synonym",874263,"Hoplias malabaricus","exact"
"Macrodon malabaricus",NA,874263,"Hoplias malabaricus","exact"
"Macrodon tareira","junior synonym",874263,"Hoplias malabaricus","exact"
"Synodus palustris",NA,874263,"Hoplias malabaricus","exact"
"Synodus tareira",NA,874263,"Hoplias malabaricus","exact"
"Erythrinus microcephalus",NA,1022686,"Hoplias microcephalus","exact"
"Macrodon microlepis","synonym",1420667,"Hoplias microlepis","exact"
"Macrodon patana",NA,1460854,"Hoplias patana","exact"
"Macrodon teres",NA,1460855,"Hoplias teres","exact"
"Rhinhoplichthys haswelli",NA,278228,"Hoplichthys haswelli","exact"
"Oplichthys langsdorfii","misspelling",278229,"Hoplichthys langsdorfii","exact"
"Acanthoplichthys pectoralis",NA,278231,"Hoplichthys pectoralis","exact"
"Monhoplichthys prosemion",NA,311597,"Hoplichthys prosemion","exact"
"Brotula armata",NA,277593,"Hoplobrotula armata","exact"
"Hoprobrotula armata","misspelling",277593,"Hoplobrotula armata","exact"
"Sirembo gnathopus",NA,217804,"Hoplobrotula gnathopus","exact"
"Asymmetrurus fourmanoiri",NA,278088,"Hoplolatilus fourmanoiri","exact"
"Latilus fronticinctus",NA,218376,"Hoplolatilus fronticinctus","exact"
"Asymmetrurus oreni",NA,218375,"Hoplolatilus oreni","exact"
"Hoplomyzon arizona",NA,1383256,"Hoplomyzon atrizona","exact"
"Hoplomyzon atrizona petroleus","junior synonym",1383256,"Hoplomyzon atrizona","exact"
"Deuteracanthus lonchophorus",NA,281087,"Hoplopagrus guentherii","exact"
"Hoplopagrus guentheri","misspelling",281087,"Hoplopagrus guentherii","exact"
"Hoplopagrus guntheri","misspelling",281087,"Hoplopagrus guentherii","exact"
"Hoplopagrus guntherii","misspelling",281087,"Hoplopagrus guentherii","exact"
"Hoplosebastes pristigenys",NA,281088,"Hoplosebastes armatus","exact"
"Callichthys albidus","synonym",1014873,"Hoplosternum littorale","exact"
"Callichthys chiquitos","synonym",1014873,"Hoplosternum littorale","exact"
"Callichthys laevigatus","synonym",1014873,"Hoplosternum littorale","exact"
"Callichthys littoralis","synonym",1014873,"Hoplosternum littorale","exact"
"Callichthys melampterus",NA,1014873,"Hoplosternum littorale","exact"
"Callichthys subulatus","synonym",1014873,"Hoplosternum littorale","exact"
"Cascadura maculocephala",NA,1014873,"Hoplosternum littorale","exact"
"Cataphractops melampterus",NA,1014873,"Hoplosternum littorale","exact"
"Hoplosternum laevigatum","junior synonym",1014873,"Hoplosternum littorale","exact"
"Hoplosternum littorale daillyi","junior synonym",1014873,"Hoplosternum littorale","exact"
"Hoplosternum littoralis",NA,1014873,"Hoplosternum littorale","exact"
"Hoplosternum littoralis daillyi",NA,1014873,"Hoplosternum littorale","exact"
"Hoplosternum schreineri","synonym",1014873,"Hoplosternum littorale","exact"
"Hoplosternum shirui",NA,1014873,"Hoplosternum littorale","exact"
"Hoplosternum stevardii","synonym",1014873,"Hoplosternum littorale","exact"
"Hoplosternum thoracatum cayennae","junior synonym",1014873,"Hoplosternum littorale","exact"
"Hoplostethus gilchristi",NA,126402,"Hoplostethus atlanticus","exact"
"Hoplostethus islandicum",NA,126402,"Hoplostethus atlanticus","exact"
"Hoplostethus islandicus",NA,126402,"Hoplostethus atlanticus","exact"
"Hoplosthethus atlanticus","misspelling",126402,"Hoplostethus atlanticus","exact"
"Leiogaster atlanticus",NA,126402,"Hoplostethus atlanticus","exact"
"Leiogaster atlanticus spinulosus",NA,126402,"Hoplostethus atlanticus","exact"
"Hoplostenthus druzhinini","misspelling",272226,"Hoplostethus druzhinini","exact"
"Leiogaster fragilis",NA,272228,"Hoplostethus fragilis","exact"
"Hoplostethus mediterraneus latus",NA,272232,"Hoplostethus latus","exact"
"Hoplostethus intermedius",NA,126404,"Hoplostethus mediterraneus","exact"
"Hoplostethus mediterraneus mediterraneus",NA,126404,"Hoplostethus mediterraneus","exact"
"Hoplostethus mediterraneus sonodae",NA,126404,"Hoplostethus mediterraneus","exact"
"Hoplostethus mediterraneus trunovi",NA,126404,"Hoplostethus mediterraneus","exact"
"Hoplostetus mediterraneus","misspelling",126404,"Hoplostethus mediterraneus","exact"
"Korsogaster nanus",NA,126404,"Hoplostethus mediterraneus","exact"
"Trachichthys intermedius",NA,126404,"Hoplostethus mediterraneus","exact"
"Trachichthys pretiosus",NA,126404,"Hoplostethus mediterraneus","exact"
"Hoplostethus natalensis",NA,217893,"Hoplostethus melanopus","exact"
"Leiogaster melanopus",NA,217893,"Hoplostethus melanopus","exact"
"Trachichthys mento",NA,272234,"Hoplostethus mento","exact"
"Hoplunnis diomedianus","synonym",275443,"Hoplunnis diomediana","exact"
"Hoplunnis macrurus","synonym",275444,"Hoplunnis macrura","exact"
"Hoplunnis punctatus","synonym",275447,"Hoplunnis punctata","exact"
"Hoplunnis schmidtii","misspelling",275448,"Hoplunnis schmidti","exact"
"Atopichthys sicarius","synonym",275449,"Hoplunnis sicarius","exact"
"Macrones chryseus","synonym",281089,"Horabagrus brachysoma","exact"
"Mystus chryseus","synonym",281089,"Horabagrus brachysoma","exact"
"Pseudobagrus brachysoma","synonym",281089,"Horabagrus brachysoma","exact"
"Pseudobagrus chryseus","synonym",281089,"Horabagrus brachysoma","exact"
"Horadandia attukorali","misspelling",281090,"Horadandia atukorali","exact"
"Horadandia atukorali brittani",NA,1525878,"Horadandia brittani","exact"
"Howella brodiei atlantica",NA,1011297,"Howella atlantica","exact"
"Howella brodiei brodiei","senior synonym",126994,"Howella brodiei","exact"
"Galeagra pammelas",NA,273683,"Howella pammelas","exact"
"Howella sherboni","misspelling",126995,"Howella sherborni","exact"
"Rhectogramma sherborni",NA,126995,"Howella sherborni","exact"
"Helicolenus emblemarius",NA,281092,"Hozukius emblemarius","exact"
"Hozukius embremarius","misspelling",281092,"Hozukius emblemarius","exact"
"Sebastiscus triacanthus",NA,281092,"Hozukius emblemarius","exact"
"Girardinichthys turneri","senior synonym",1014835,"Hubbsina turneri","exact"
"Hucho bleckeri",NA,1015477,"Hucho bleekeri","exact"
"Hucho germanorum",NA,1023062,"Hucho hucho","exact"
"Salmo hucho",NA,1023062,"Hucho hucho","exact"
"Hucho ishikawai",NA,1016026,"Hucho ishikawae","exact"
"Hucho hucho taimen","senior synonym",1026969,"Hucho taimen","exact"
"Salmo fluviatilis",NA,1026969,"Hucho taimen","exact"
"Salmo taimen",NA,1026969,"Hucho taimen","exact"
"Salvelinus taimen",NA,1026969,"Hucho taimen","exact"
"Acipenser dauricus",NA,271700,"Huso dauricus","exact"
"Acipenser mantschuricus",NA,271700,"Huso dauricus","exact"
"Acipenser orientalis",NA,271700,"Huso dauricus","exact"
"Huso orientalis",NA,271700,"Huso dauricus","exact"
"Acipenser albula",NA,126280,"Huso huso","exact"
"Acipenser beluga",NA,126280,"Huso huso","exact"
"Acipenser huso",NA,126280,"Huso huso","exact"
"Acipenser schypa",NA,126280,"Huso huso","exact"
"Acipenser shyp",NA,126280,"Huso huso","exact"
"Acipenser vallisnerii","synonym",126280,"Huso huso","exact"
"Huso huso caspicus",NA,126280,"Huso huso","exact"
"Huso huso maeoticus",NA,126280,"Huso huso","exact"
"Huso huso orientalis",NA,126280,"Huso huso","exact"
"Huso huso ponticus",NA,126280,"Huso huso","exact"
"Huso ichthyocolla",NA,126280,"Huso huso","exact"
"Pelteobagrus ornatus","senior synonym",1018637,"Hyalobagrus ornatus","exact"
"Pseudobagrus ornatus",NA,1018637,"Hyalobagrus ornatus","exact"
"Algoma amara","synonym",1419452,"Hybognathus amarus","exact"
"Algoma fluviatilis","ambiguous synonym",1419452,"Hybognathus amarus","exact"
"Hybognathus nuchalis amarus","senior synonym",1419452,"Hybognathus amarus","exact"
"Tirodon amnigenus",NA,1021474,"Hybognathus nuchalis","exact"
"Hybognathus churchilli",NA,1015723,"Hybognathus placitus","exact"
"Hybognathus evansi","synonym",1015723,"Hybognathus placitus","exact"
"Hybognathus nuchalis regius","senior synonym",1020606,"Hybognathus regius","exact"
"Hybognathus osmerinus",NA,1020606,"Hybognathus regius","exact"
"Notropis amblops",NA,1022832,"Hybopsis amblops","exact"
"Rutilus amblops",NA,1022832,"Hybopsis amblops","exact"
"Notropis amnis",NA,1014191,"Hybopsis amnis","exact"
"Notropis nocomis",NA,1014191,"Hybopsis amnis","exact"
"Ceratichthys hypsinotus","synonym",1421415,"Hybopsis hypsinotus","exact"
"Notropis hypsinotus",NA,1421415,"Hybopsis hypsinotus","exact"
"Notropis lineapunctatus",NA,1013133,"Hybopsis lineapunctata","exact"
"Nocomis rubrifrons","synonym",1011349,"Hybopsis rubrifrons","exact"
"Notropis rubescens",NA,1011349,"Hybopsis rubrifrons","exact"
"Notropis winchelli",NA,1021384,"Hybopsis winchelli","exact"
"Hydrocion brevis",NA,581705,"Hydrocynus brevis","exact"
"Hydrocynus somonorum","junior synonym",581705,"Hydrocynus brevis","exact"
"Hydrocyon brevis","synonym",581705,"Hydrocynus brevis","exact"
"Hydrocyon somonorum",NA,581705,"Hydrocynus brevis","exact"
"Hydrocynus forskahlli",NA,581706,"Hydrocynus forskahlii","exact"
"Hydrocynus forskali",NA,581706,"Hydrocynus forskahlii","exact"
"Hydrocynus forskalii",NA,581706,"Hydrocynus forskahlii","exact"
"Hydrocynus forskhalii",NA,581706,"Hydrocynus forskahlii","exact"
"Hydrocyon forskahlii",NA,581706,"Hydrocynus forskahlii","exact"
"Hydrocyon forskali",NA,581706,"Hydrocynus forskahlii","exact"
"Hydrocyon forskalli",NA,581706,"Hydrocynus forskahlii","exact"
