"synonym","unacceptreason","aphiaid","scientific","match_type"
"Acheilognathus gracilis luchowensis","junior synonym",1013567,"Acheilognathus gracilis","exact"
"Acheilognathus luchowensis","synonym",1013567,"Acheilognathus gracilis","exact"
"Pseudoperilampus hondae",NA,1525907,"Acheilognathus hondae","exact"
"Rhodeus hondae",NA,1525907,"Acheilognathus hondae","exact"
"Acanthorhodeus hypselonotus",NA,1020565,"Acheilognathus hypselonotus","exact"
"Achilognathus imberbis","misspelling",1421319,"Acheilognathus imberbis","exact"
"Paracheilognathus imberbis","senior synonym",1421319,"Acheilognathus imberbis","exact"
"Acheilognathus imtermebia",NA,1021973,"Acheilognathus intermedia","exact"
"Capoeta intermedia",NA,1021973,"Acheilognathus intermedia","exact"
"Pararhodeus kyphus",NA,1524301,"Acheilognathus kyphus","exact"
"Acanthorhodeus longibarbatus",NA,1012622,"Acheilognathus longibarbatus","exact"
"Achilognathus longipinnis",NA,1526167,"Acheilognathus longipinnis","exact"
"Acanthorhodeus bergi","synonym",279486,"Acheilognathus macropterus","exact"
"Acanthorhodeus dicaeus","synonym",279486,"Acheilognathus macropterus","exact"
"Acanthorhodeus guichenoti","synonym",279486,"Acheilognathus macropterus","exact"
"Acanthorhodeus jeholicus","synonym",279486,"Acheilognathus macropterus","exact"
"Acanthorhodeus longispinnis","synonym",279486,"Acheilognathus macropterus","exact"
"Acanthorhodeus macropterus","synonym",279486,"Acheilognathus macropterus","exact"
"Acanthorhodeus ngowyangi","synonym",279486,"Acheilognathus macropterus","exact"
"Acheilognathus dicaeus",NA,279486,"Acheilognathus macropterus","exact"
"Acheliognathus macropterus","misspelling",279486,"Acheilognathus macropterus","exact"
"Paracheilognathus jeholicus",NA,279486,"Acheilognathus macropterus","exact"
"Acheilognathus moriokae","synonym",279487,"Acheilognathus melanogaster","exact"
"Paracheilognathus meridianus",NA,1014923,"Acheilognathus meridianus","exact"
"Acheilognathus elongatus elongatus",NA,1523901,"Acheilognathus microphysa","exact"
"Acheilognathus elongatus microphysa",NA,1523901,"Acheilognathus microphysa","exact"
"Acanthorhodeus omeiensis",NA,1015521,"Acheilognathus omeiensis","exact"
"Paracheilognathus peihoensis",NA,1017831,"Acheilognathus peihoensis","exact"
"Acanthorhodeus polylepis",NA,1013561,"Acheilognathus polylepis","exact"
"Acanthorhodeus dayeus",NA,1012621,"Acheilognathus polyspinus","exact"
"Acanthorhodeus polyspinus","synonym",1012621,"Acheilognathus polyspinus","exact"
"Acheilognathus rhombea",NA,1022001,"Acheilognathus rhombeus","exact"
"Capoeta rhombea",NA,1022001,"Acheilognathus rhombeus","exact"
"Paracheilognathus rhombeus","senior synonym",1022001,"Acheilognathus rhombeus","exact"
"Acheilognathus lanceolata tabira","senior synonym",1017240,"Acheilognathus tabira","exact"
"Acheilognathus tabira erythropterus",NA,1017240,"Acheilognathus tabira","exact"
"Acheilognathus tabira jordani",NA,1017240,"Acheilognathus tabira","exact"
"Acheilognathus tabira nakamurae",NA,1017240,"Acheilognathus tabira","exact"
"Acheilognathus tabira tabira",NA,1017240,"Acheilognathus tabira","exact"
