"level_1","level_2","level_3","level_4","level_5","scientific","qualifiers","CAAB_code"
"Biota","Cnidaria","Corals","Stony corals","Encrusting",,"Bleached","11290908"
"Biota","Cnidaria","Corals","Stony corals","Encrusting",,"Dead","11290908"
"Biota","Cnidaria","Corals","Stony corals","Encrusting",,"Recently dead","11290908"
"Biota","Cnidaria","Corals","Stony corals","Foliose / plate",,,"11290907"
"Biota","Cnidaria","Corals","Stony corals","Foliose / plate",,"Alive","11290907"
"Biota","Cnidaria","Corals","Stony corals","Foliose / plate",,"Recruit","11290907"
"Biota","Cnidaria","Corals","Stony corals","Foliose / plate",,"Bleached","11290907"
"Biota","Cnidaria","Corals","Stony corals","Foliose / plate",,"Dead","11290907"
"Biota","Cnidaria","Corals","Stony corals","Foliose / plate",,"Recently dead","11290907"
"Biota","Cnidaria","Corals","Stony corals","Massive",,,"11290906"
"Biota","Cnidaria","Corals","Stony corals","Massive",,"Alive","11290906"
"Biota","Cnidaria","Corals","Stony corals","Massive",,"Recruit","11290906"
"Biota","Cnidaria","Corals","Stony corals","Massive",,"Bleached","11290906"
"Biota","Cnidaria","Corals","Stony corals","Massive",,"Dead","11290906"
"Biota","Cnidaria","Corals","Stony corals","Massive",,"Recently dead","11290906"
"Biota","Cnidaria","Corals","Stony corals","Solitary",,,"11290901"
"Biota","Cnidaria","Corals","Stony corals","Solitary",,"Alive","11290901"
"Biota","Cnidaria","Corals","Stony corals","Solitary",,"Recruit","11290901"
"Biota","Cnidaria","Corals","Stony corals","Solitary",,"Bleached","11290901"
"Biota","Cnidaria","Corals","Stony corals","Solitary",,"Dead","11290901"
"Biota","Cnidaria","Corals","Stony corals","Solitary",,"Recently dead","11290901"
"Biota","Cnidaria","Corals","Stony corals","Staghorn",,,"11290913"
"Biota","Cnidaria","Corals","Stony corals","Staghorn",,"Alive","11290913"
"Biota","Cnidaria","Corals","Stony corals","Staghorn",,"Recruit","11290913"
"Biota","Cnidaria","Corals","Stony corals","Staghorn",,"Bleached","11290913"
"Biota","Cnidaria","Corals","Stony corals","Staghorn",,"Dead","11290913"
"Biota","Cnidaria","Corals","Stony corals","Staghorn",,"Recently dead","11290913"
"Biota","Cnidaria","Corals","Stony corals","Sub-massive",,,"11290905"
"Biota","Cnidaria","Corals","Stony corals","Sub-massive",,"Alive","11290905"
"Biota","Cnidaria","Corals","Stony corals","Sub-massive",,"Recruit","11290905"
"Biota","Cnidaria","Corals","Stony corals","Sub-massive",,"Bleached","11290905"
"Biota","Cnidaria","Corals","Stony corals","Sub-massive",,"Dead","11290905"
"Biota","Cnidaria","Corals","Stony corals","Sub-massive",,"Recently dead","11290905"
"Biota","Cnidaria","Corals","Stony corals","Tabulate",,,"11290911"
"Biota","Cnidaria","Corals","Stony corals","Tabulate",,"Alive","11290911"
"Biota","Cnidaria","Corals","Stony corals","Tabulate",,"Recruit","11290911"
"Biota","Cnidaria","Corals","Stony corals","Tabulate",,"Bleached","11290911"
"Biota","Cnidaria","Corals","Stony corals","Tabulate",,"Dead","11290911"
